"id","age","sex","race","hispanic","region","educ","paeduc","maeduc","relig","happy","income","polviews","partyid","grass","commute","wrkstat","wrkslf","wrkgovt","marital","confinan","conclerg","coneduc","conpress","conjudge","consci","conlegis","conarmy","joblose","jobfind","satjob"
1430,"57","FEMALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","20","12","12","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","CONSERVATIVE","STRONG REPUBLICAN","NOT LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME","HARDLY ANY","A GREAT DEAL","HARDLY ANY","A GREAT DEAL","NOT LIKELY","VERY EASY","VERY SATISFIED"
1431,"50","MALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","13","16","12","NONE","PRETTY HAPPY","$25000 OR MORE","SLGHTLY CONSERVATIVE","IND,NEAR DEM","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","GOVERNMENT","DIVORCED","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY","HARDLY ANY","A GREAT DEAL","HARDLY ANY","ONLY SOME","NOT TOO LIKELY","NOT EASY","MOD. SATISFIED"
1432,"31","MALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","14","16","12","NONE","PRETTY HAPPY","$25000 OR MORE","SLIGHTLY LIBERAL","IND,NEAR DEM",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","SOMEWHAT EASY",NA
1433,"36","MALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","18","13","12","CATHOLIC","PRETTY HAPPY","$25000 OR MORE","LIBERAL","STRONG DEMOCRAT","DK",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","DK","A GREAT DEAL","ONLY SOME","A GREAT DEAL",NA,NA,"MOD. SATISFIED"
1434,"83","MALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","9",NA,"6","PROTESTANT","NOT TOO HAPPY","$25000 OR MORE","EXTRMLY CONSERVATIVE","STRONG REPUBLICAN",NA,NA,"WORKING FULLTIME","SELF-EMPLOYED","PRIVATE","WIDOWED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","NOT EASY",NA
1435,"58","MALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","1","12","12","NONE","PRETTY HAPPY","$25000 OR MORE","SLIGHTLY LIBERAL","STRONG DEMOCRAT","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","HARDLY ANY","A GREAT DEAL",NA,NA,"VERY SATISFIED"
1436,"29","MALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","13","18","16","NONE","PRETTY HAPPY","$25000 OR MORE","SLIGHTLY LIBERAL","NOT STR DEMOCRAT",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","SOMEWHAT EASY","MOD. SATISFIED"
1437,"50","MALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","12","12","12","CATHOLIC","PRETTY HAPPY","$25000 OR MORE","MODERATE","STRONG REPUBLICAN","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","ONLY SOME","ONLY SOME","A GREAT DEAL",NA,NA,"MOD. SATISFIED"
1438,"64","MALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","18","12","12","CATHOLIC","PRETTY HAPPY","$25000 OR MORE","MODERATE","IND,NEAR DEM","LEGAL",NA,"RETIRED","SOMEONE ELSE","PRIVATE","DIVORCED","HARDLY ANY","ONLY SOME","A GREAT DEAL","A GREAT DEAL","ONLY SOME","A GREAT DEAL","HARDLY ANY","A GREAT DEAL",NA,NA,NA
1439,"43","MALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","16","12","14","CATHOLIC","VERY HAPPY","$25000 OR MORE","CONSERVATIVE","IND,NEAR REP","NOT LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED","HARDLY ANY","ONLY SOME","HARDLY ANY","HARDLY ANY","HARDLY ANY","A GREAT DEAL","HARDLY ANY","A GREAT DEAL","NOT TOO LIKELY","VERY EASY","VERY SATISFIED"
1440,"54","MALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","18",NA,"14","PROTESTANT","PRETTY HAPPY","REFUSED","SLGHTLY CONSERVATIVE","IND,NEAR REP","NOT LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY","A GREAT DEAL","A GREAT DEAL","HARDLY ANY","A GREAT DEAL","NOT LIKELY","NOT EASY","VERY SATISFIED"
1441,"72","MALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","17","10","12","CATHOLIC","NOT TOO HAPPY","$25000 OR MORE","LIBERAL","STRONG DEMOCRAT","LEGAL",NA,"RETIRED","SOMEONE ELSE","GOVERNMENT","WIDOWED","HARDLY ANY","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME",NA,NA,NA
1442,"31","FEMALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","16","12","18","CATHOLIC","VERY HAPPY","$25000 OR MORE","SLIGHTLY LIBERAL","NOT STR DEMOCRAT","NOT LEGAL",NA,"TEMP NOT WORKING","SOMEONE ELSE","GOVERNMENT","MARRIED","HARDLY ANY","A GREAT DEAL","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","HARDLY ANY","ONLY SOME",NA,NA,"MOD. SATISFIED"
1443,"30","MALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","16","12","12","CATHOLIC","VERY HAPPY","$25000 OR MORE","SLGHTLY CONSERVATIVE","IND,NEAR REP",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","VERY EASY","VERY SATISFIED"
1444,"36","FEMALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","18","12","12","PROTESTANT","PRETTY HAPPY","REFUSED","MODERATE","NOT STR DEMOCRAT","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","A GREAT DEAL","ONLY SOME","A GREAT DEAL","HARDLY ANY","ONLY SOME","A GREAT DEAL","ONLY SOME","A GREAT DEAL",NA,NA,"MOD. SATISFIED"
1445,"72","MALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","13","12","8","CATHOLIC","VERY HAPPY","$20000 - 24999","EXTRMLY CONSERVATIVE","STRONG REPUBLICAN","LEGAL",NA,"RETIRED",NA,NA,"DIVORCED","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY","HARDLY ANY","A GREAT DEAL","ONLY SOME","A GREAT DEAL",NA,NA,NA
1446,"56","FEMALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","12",NA,"DK","CHRISTIAN","PRETTY HAPPY","$25000 OR MORE","CONSERVATIVE","NOT STR DEMOCRAT",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","NOT EASY",NA
1447,"29","FEMALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","14","12","12","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","SLGHTLY CONSERVATIVE","NOT STR REPUBLICAN","LEGAL",NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","MARRIED","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY","A GREAT DEAL",NA,NA,"VERY SATISFIED"
1448,"83","FEMALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","16","8","11","CATHOLIC","PRETTY HAPPY","$25000 OR MORE","LIBERAL","STRONG DEMOCRAT",NA,NA,"KEEPING HOUSE",NA,NA,"WIDOWED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MOD. SATISFIED"
1449,"80","FEMALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","17","16","12","CATHOLIC","VERY HAPPY","DK","SLGHTLY CONSERVATIVE","IND,NEAR REP","LEGAL",NA,"RETIRED","SOMEONE ELSE","PRIVATE","MARRIED","ONLY SOME","A GREAT DEAL","ONLY SOME","HARDLY ANY","A GREAT DEAL","ONLY SOME","ONLY SOME","A GREAT DEAL",NA,NA,NA
1450,"61","MALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","12","12","DK","CATHOLIC","NOT TOO HAPPY","$10000 - 14999","SLGHTLY CONSERVATIVE","IND,NEAR REP","LEGAL",NA,"UNEMPL, LAID OFF","SELF-EMPLOYED","PRIVATE","DIVORCED","HARDLY ANY","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME","HARDLY ANY","ONLY SOME","A GREAT DEAL",NA,NA,"VERY SATISFIED"
1451,"53","MALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","12","12","12","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","CONSERVATIVE","STRONG REPUBLICAN","LEGAL",NA,"WORKING FULLTIME","SELF-EMPLOYED","PRIVATE","MARRIED","HARDLY ANY","A GREAT DEAL","HARDLY ANY","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME","NOT LIKELY","NOT EASY","VERY SATISFIED"
1452,"61","FEMALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","16","12","12","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","LIBERAL","NOT STR DEMOCRAT","LEGAL",NA,"KEEPING HOUSE","SOMEONE ELSE","PRIVATE","MARRIED","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","HARDLY ANY","A GREAT DEAL",NA,NA,"MOD. SATISFIED"
1453,"52","FEMALE","WHITE","NOT HISPANIC","E. NOR. CENTRAL","14","12","12","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","SLGHTLY CONSERVATIVE","NOT STR REPUBLICAN","NOT LEGAL",NA,"WORKING FULLTIME","SELF-EMPLOYED","PRIVATE","MARRIED","HARDLY ANY","ONLY SOME","A GREAT DEAL","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME",NA,NA,"VERY SATISFIED"
1454,"37","MALE","OTHER","MEXICAN, MEXICAN AMERICAN, CHICANO/A","MOUNTAIN","13","8","6","CATHOLIC","VERY HAPPY","$25000 OR MORE","SLIGHTLY LIBERAL","NOT STR DEMOCRAT","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED","ONLY SOME","ONLY SOME","HARDLY ANY","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","NOT LIKELY","VERY EASY","A LITTLE DISSAT"
1455,"24","FEMALE","WHITE","NOT HISPANIC","MOUNTAIN","12",NA,"12","NONE","PRETTY HAPPY","$25000 OR MORE","MODERATE","INDEPENDENT",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","DK","NEVER MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","VERY EASY","VERY SATISFIED"
1456,"50","FEMALE","WHITE","NOT HISPANIC","MOUNTAIN","17","16","13","CHRISTIAN","NOT TOO HAPPY","$25000 OR MORE","LIBERAL","IND,NEAR DEM","LEGAL",NA,"KEEPING HOUSE","SOMEONE ELSE","PRIVATE","SEPARATED","HARDLY ANY","ONLY SOME","ONLY SOME","A GREAT DEAL","HARDLY ANY","A GREAT DEAL","ONLY SOME","ONLY SOME",NA,NA,"VERY DISSATISFIED"
1457,"28","FEMALE","WHITE","NOT HISPANIC","MOUNTAIN","12","12","12","NONE","PRETTY HAPPY","$25000 OR MORE","MODERATE","INDEPENDENT",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","NOT EASY",NA
1458,"30","FEMALE","WHITE","NOT HISPANIC","MOUNTAIN","12","10","12","NONE","PRETTY HAPPY","$20000 - 24999","EXTREMELY LIBERAL","IND,NEAR REP","NOT LEGAL",NA,"OTHER",NA,NA,"DIVORCED","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME",NA,NA,NA
1459,"36","MALE","WHITE","NOT HISPANIC","MOUNTAIN","12","13","12","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","MODERATE","INDEPENDENT","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME","HARDLY ANY","ONLY SOME","NOT LIKELY","VERY EASY","MOD. SATISFIED"
1460,"24","MALE","WHITE","NOT HISPANIC","MOUNTAIN","16","18","16","NONE","PRETTY HAPPY","$20000 - 24999","SLIGHTLY LIBERAL","IND,NEAR DEM","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME","ONLY SOME","A GREAT DEAL","HARDLY ANY","HARDLY ANY","NOT LIKELY","SOMEWHAT EASY","VERY SATISFIED"
1461,"63","FEMALE","OTHER","NOT HISPANIC","MOUNTAIN","13",NA,"4","PROTESTANT","VERY HAPPY","$25000 OR MORE","MODERATE","INDEPENDENT",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","DIVORCED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT TOO LIKELY","SOMEWHAT EASY",NA
1462,"22","MALE","WHITE","NOT HISPANIC","MOUNTAIN","15","20","16","NONE","PRETTY HAPPY","$10000 - 14999","LIBERAL","NOT STR DEMOCRAT","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","ONLY SOME","A GREAT DEAL","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","NOT LIKELY","NOT EASY","MOD. SATISFIED"
1463,"20","MALE","WHITE","NOT HISPANIC","MOUNTAIN","13","13","14","ORTHODOX-CHRISTIAN","PRETTY HAPPY","$5000 TO 5999","LIBERAL","IND,NEAR DEM","LEGAL",NA,"WORKING PARTTIME","SOMEONE ELSE","GOVERNMENT","NEVER MARRIED","ONLY SOME","ONLY SOME","A GREAT DEAL","HARDLY ANY","A GREAT DEAL","A GREAT DEAL","HARDLY ANY","ONLY SOME",NA,NA,"VERY SATISFIED"
1464,"31","FEMALE","WHITE","MEXICAN, MEXICAN AMERICAN, CHICANO/A","MOUNTAIN","11","DK","6","PROTESTANT","NOT TOO HAPPY","$10000 - 14999","MODERATE","IND,NEAR DEM","NOT LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","GOVERNMENT","NEVER MARRIED","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","FAIRLY LIKELY","NOT EASY","VERY SATISFIED"
1465,"31","FEMALE","BLACK","NOT HISPANIC","MOUNTAIN","12","12","8","NONE","PRETTY HAPPY","$20000 - 24999","SLGHTLY CONSERVATIVE","STRONG DEMOCRAT","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","A GREAT DEAL","ONLY SOME","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","ONLY SOME","ONLY SOME","A GREAT DEAL",NA,NA,"VERY SATISFIED"
1466,"74","MALE","WHITE","NOT HISPANIC","MOUNTAIN","14","10",NA,"NONE","PRETTY HAPPY","$25000 OR MORE","CONSERVATIVE","NOT STR REPUBLICAN","NOT LEGAL",NA,"RETIRED","SOMEONE ELSE","GOVERNMENT","DIVORCED","ONLY SOME","HARDLY ANY","HARDLY ANY","HARDLY ANY","HARDLY ANY","ONLY SOME","HARDLY ANY","A GREAT DEAL",NA,NA,NA
1467,"83","FEMALE","WHITE","NOT HISPANIC","MOUNTAIN","11","DK","12","PROTESTANT","PRETTY HAPPY","$8000 TO 9999","EXTRMLY CONSERVATIVE","INDEPENDENT","DK",NA,"RETIRED","SOMEONE ELSE","PRIVATE","DIVORCED","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME",NA,NA,NA
1468,"61","MALE","WHITE","NOT HISPANIC","MOUNTAIN","18","12","16","PROTESTANT","DK","$25000 OR MORE","CONSERVATIVE","STRONG REPUBLICAN","NOT LEGAL",NA,"WORKING FULLTIME","SELF-EMPLOYED","DK","MARRIED","ONLY SOME","ONLY SOME","HARDLY ANY","HARDLY ANY","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME",NA,NA,"MOD. SATISFIED"
1469,"22","MALE","WHITE","NOT HISPANIC","MOUNTAIN","14","12","16","NONE","PRETTY HAPPY","$15000 - 19999","LIBERAL","IND,NEAR DEM","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY","A GREAT DEAL","HARDLY ANY","ONLY SOME","NOT TOO LIKELY","SOMEWHAT EASY","VERY SATISFIED"
1470,"63","FEMALE","WHITE","NOT HISPANIC","MOUNTAIN","14","DK","12","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","SLGHTLY CONSERVATIVE","NOT STR REPUBLICAN",NA,NA,"WORKING PARTTIME","SOMEONE ELSE","GOVERNMENT","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT TOO LIKELY","SOMEWHAT EASY","VERY SATISFIED"
1471,"46","MALE","WHITE","NOT HISPANIC","MOUNTAIN","12",NA,"12","NONE","PRETTY HAPPY","$25000 OR MORE","MODERATE","IND,NEAR DEM",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","DIVORCED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","NOT EASY",NA
1472,"83","FEMALE","WHITE","NOT HISPANIC","MOUNTAIN","20","DK","16","PROTESTANT","VERY HAPPY","$25000 OR MORE","CONSERVATIVE","NOT STR REPUBLICAN",NA,NA,"RETIRED","SOMEONE ELSE","GOVERNMENT","WIDOWED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1473,"38","FEMALE","WHITE","NOT HISPANIC","MOUNTAIN","16","18","16","PROTESTANT","VERY HAPPY","REFUSED","SLGHTLY CONSERVATIVE","NOT STR REPUBLICAN","NOT LEGAL",NA,"KEEPING HOUSE","SOMEONE ELSE","PRIVATE","MARRIED","A GREAT DEAL","A GREAT DEAL","ONLY SOME","HARDLY ANY","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL",NA,NA,"VERY SATISFIED"
1474,"80","MALE","WHITE","NOT HISPANIC","MOUNTAIN","14","11","12","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","CONSERVATIVE","STRONG REPUBLICAN",NA,NA,"RETIRED","SOMEONE ELSE","PRIVATE","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1475,"58","FEMALE","WHITE","NOT HISPANIC","MOUNTAIN","13","16","11","PROTESTANT","PRETTY HAPPY","REFUSED","MODERATE","IND,NEAR DEM","LEGAL",NA,"RETIRED","SOMEONE ELSE","PRIVATE","MARRIED","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","A GREAT DEAL","HARDLY ANY","A GREAT DEAL",NA,NA,NA
1476,"52","FEMALE","WHITE","NOT HISPANIC","E. SOU. CENTRAL","12","12","12","NONE","PRETTY HAPPY","$20000 - 24999","MODERATE","STRONG DEMOCRAT",NA,NA,"WORKING PARTTIME","SOMEONE ELSE","PRIVATE","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT TOO LIKELY","NOT EASY",NA
1477,"31","FEMALE","WHITE","NOT HISPANIC","E. SOU. CENTRAL","12","DK","12","PROTESTANT","VERY HAPPY","$25000 OR MORE","EXTRMLY CONSERVATIVE","NOT STR REPUBLICAN",NA,NA,"KEEPING HOUSE","SOMEONE ELSE","PRIVATE","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VERY SATISFIED"
1478,"34","MALE","WHITE","NOT HISPANIC","E. SOU. CENTRAL","15","13","17","NONE","VERY HAPPY","$25000 OR MORE","MODERATE","INDEPENDENT","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED","HARDLY ANY","HARDLY ANY","ONLY SOME","HARDLY ANY","HARDLY ANY","ONLY SOME","HARDLY ANY","A GREAT DEAL",NA,NA,"MOD. SATISFIED"
1479,"31","FEMALE","WHITE","NOT HISPANIC","E. SOU. CENTRAL","12","9","12","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","MODERATE","INDEPENDENT","NOT LEGAL",NA,"KEEPING HOUSE","SOMEONE ELSE","PRIVATE","MARRIED","A GREAT DEAL","A GREAT DEAL","ONLY SOME","HARDLY ANY","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL",NA,NA,"VERY SATISFIED"
1480,"63","MALE","WHITE","NOT HISPANIC","E. SOU. CENTRAL","13","11","12","PROTESTANT","PRETTY HAPPY","REFUSED","CONSERVATIVE","IND,NEAR REP","NOT LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY","HARDLY ANY","HARDLY ANY","HARDLY ANY","HARDLY ANY","NOT TOO LIKELY","NOT EASY","A LITTLE DISSAT"
1481,"57","FEMALE","WHITE","NOT HISPANIC","E. SOU. CENTRAL","16","16","14","NONE","PRETTY HAPPY","$25000 OR MORE","CONSERVATIVE","IND,NEAR REP",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","SOMEWHAT EASY","VERY SATISFIED"
1482,"45","MALE","WHITE","NOT HISPANIC","E. SOU. CENTRAL","14","16","12","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","CONSERVATIVE","IND,NEAR REP","NOT LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED","ONLY SOME","ONLY SOME","HARDLY ANY","HARDLY ANY","HARDLY ANY","ONLY SOME","HARDLY ANY","ONLY SOME","NOT LIKELY","VERY EASY","MOD. SATISFIED"
1483,"60","MALE","WHITE","NOT HISPANIC","E. SOU. CENTRAL","9",NA,"DK","CATHOLIC","VERY HAPPY","$25000 OR MORE","MODERATE","IND,NEAR DEM",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","SOMEWHAT EASY",NA
1484,"67","FEMALE","WHITE","NOT HISPANIC","E. SOU. CENTRAL","11","DK","DK","PROTESTANT","PRETTY HAPPY","$20000 - 24999","EXTRMLY CONSERVATIVE","IND,NEAR REP","DK",NA,"WORKING PARTTIME","SELF-EMPLOYED","PRIVATE","MARRIED","HARDLY ANY","ONLY SOME","A GREAT DEAL","HARDLY ANY","ONLY SOME","ONLY SOME","HARDLY ANY","A GREAT DEAL",NA,NA,"VERY SATISFIED"
1485,"63","MALE","BLACK","NOT HISPANIC","E. SOU. CENTRAL","12","12","12","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","SLIGHTLY LIBERAL","STRONG REPUBLICAN","NOT LEGAL",NA,"WORKING PARTTIME","SOMEONE ELSE","GOVERNMENT","NEVER MARRIED","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","FAIRLY LIKELY","NOT EASY","MOD. SATISFIED"
1486,"50","MALE","OTHER","NOT HISPANIC","E. SOU. CENTRAL","20","18","15","CHRISTIAN","NOT TOO HAPPY","$25000 OR MORE","MODERATE","STRONG REPUBLICAN","DK",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","DIVORCED","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","HARDLY ANY","ONLY SOME","HARDLY ANY","A GREAT DEAL",NA,NA,"VERY SATISFIED"
1487,"29","MALE","OTHER","MEXICAN, MEXICAN AMERICAN, CHICANO/A","E. SOU. CENTRAL","11","DK","0","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","SLGHTLY CONSERVATIVE","INDEPENDENT","NOT LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED","ONLY SOME","ONLY SOME","ONLY SOME","ONLY SOME","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","A GREAT DEAL","NOT LIKELY","VERY EASY","VERY SATISFIED"
1488,"23","FEMALE","WHITE","NOT HISPANIC","E. SOU. CENTRAL","12",NA,"16","PROTESTANT","NOT TOO HAPPY","REFUSED","MODERATE","INDEPENDENT",NA,NA,"KEEPING HOUSE","SOMEONE ELSE","PRIVATE","MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A LITTLE DISSAT"
1489,"59","MALE","WHITE","NOT HISPANIC","E. SOU. CENTRAL","12","12","12","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","CONSERVATIVE","IND,NEAR REP","NOT LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","MARRIED","ONLY SOME","A GREAT DEAL","ONLY SOME","HARDLY ANY","HARDLY ANY","HARDLY ANY","HARDLY ANY","ONLY SOME",NA,NA,"VERY SATISFIED"
1490,"38","FEMALE","WHITE","NOT HISPANIC","E. SOU. CENTRAL","19","19","16","PROTESTANT","VERY HAPPY","$25000 OR MORE","SLGHTLY CONSERVATIVE","NOT STR REPUBLICAN","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","GOVERNMENT","MARRIED","ONLY SOME","ONLY SOME","A GREAT DEAL","HARDLY ANY","A GREAT DEAL","A GREAT DEAL","ONLY SOME","A GREAT DEAL",NA,NA,"VERY SATISFIED"
1491,"32","FEMALE","WHITE","NOT HISPANIC","E. SOU. CENTRAL","16","16","12","NONE","VERY HAPPY","$25000 OR MORE","SLIGHTLY LIBERAL","IND,NEAR DEM","LEGAL",NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED","ONLY SOME","ONLY SOME","A GREAT DEAL","HARDLY ANY","ONLY SOME","A GREAT DEAL","ONLY SOME","A GREAT DEAL","NOT TOO LIKELY","NOT EASY","MOD. SATISFIED"
1492,"32","MALE","OTHER","NOT HISPANIC","E. SOU. CENTRAL","14","16","16","PROTESTANT","PRETTY HAPPY","$25000 OR MORE","CONSERVATIVE","STRONG REPUBLICAN",NA,NA,"OTHER","SOMEONE ELSE","PRIVATE","NEVER MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1493,"48","MALE","WHITE","NOT HISPANIC","E. SOU. CENTRAL","14",NA,"10","PROTESTANT","NOT TOO HAPPY","$25000 OR MORE","MODERATE","STRONG DEMOCRAT",NA,NA,"WORKING FULLTIME","SOMEONE ELSE","PRIVATE","NEVER MARRIED",NA,NA,NA,NA,NA,NA,NA,NA,"NOT LIKELY","NOT EASY",NA
